case_id,week,popwght,state,nielsen,metro,region,division,ownhome,mstatus,employ,totper,adults,kids1217,kids611,kidsless6,parent,age,age2,totalage,refage,educ,income,race,affilrot,polparty,partyln,partycomb,polviewrot,polview,regvote,sex,religion,ident,anycell,anyland,bornus,date,healthins,typeins,he2k,he2z,birt1,birt2,birt3rot,birt3,birt4,birt5rot,birt5a,birt5b,birt5c,birt6rot,birt6a,birt6b,birt6c,birt6d,birt6e,birt6f,birt7,birt8,birt9
50000023,839,.25,LA,D,Non-Metro,South,West South Central,Owned,Widowed,Homemaker,One,One, , , , ,64, ,50-64,45-64,"Some postgraduate or professional schooling, no postgraduate degree","Less than $15,000",White Non-Hispanic,Republican/Democrat,A Republican, ,Republican/leans Republican,d3 5-1 asked,Very conservative,Yes,Female,Protestant,Landline,No, , ,200929,"Yes, covered by health insurance",Medicare, , ,No,Yes,"5,1",Not applicable/Does not have vaginal intercourse/sex, , , , , ,FA,No, , , , ,No,Not very concerned, ,No
50000030,839,.9533,MD,A,Center City (Metro),South,South Atlantic,Owned,Divorced,Full-time,Three,Three, , , , ,58, ,50-64,45-64,Two year associate degree from a college or university,"$50,000 but less than $75,000",Black Non-Hispanic,Democrat/Republican,A Democrat, ,Democrat/leans Democrat,d3 5-1 asked,Moderate,Yes,Female,Methodist,Landline,Yes, , ,200929,"Yes, covered by health insurance",Medicaid/state-specific Medicaid plan, , ,No,Yes,"5,1",Every time,Yes,ABC,Yes,Yes,Yes,FEDCBA,Yes,No,No,Yes,No,Yes,Not at all concerned,Not at all concerned,Yes
50000031,839,.4667,MN,A,Center City (Metro),North Central,West North Central,Owned,Widowed,Part-time,Two,Two, , , , ,66, ,65+,65+,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$75,000 but less than $100,000",White Non-Hispanic,Republican/Democrat,An Independent,Democratic,Democrat/leans Democrat,d3 1-5 asked,Moderate,Yes,Female,"Catholic, Roman Catholic",Landline,Yes, , ,200929, , , , ,No,Yes,"1,5",Never, , , , , ,AF,No, , , , ,No,Not at all concerned, ,Yes
50000033,839,.3812,IA,C,Non-Metro,North Central,West North Central,Owned,Married,Retired,Two,Two, , , , ,87, ,65+,65+,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","$100,000 to under $150,000",White Non-Hispanic,Democrat/Republican,An Independent,Democratic,Democrat/leans Democrat,d3 1-5 asked,Somewhat conservative,Yes,Male,Protestant,Landline,Yes, , ,200929, , , , ,No,Yes,"5,1",Never, , , , , ,AF,No, , , , ,No,Not very concerned, ,Yes
50000035,839,.3171,IA,C,Center City (Metro),North Central,West North Central,Owned,Widowed,Retired,One,One, , , , ,83, ,65+,65+,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","$50,000 but less than $75,000",White Non-Hispanic,Democrat/Republican,A Republican, ,Republican/leans Republican,d3 1-5 asked,Very conservative,Yes,Female,Baptist,Landline,Yes, , ,200929, , , , ,No,Yes,"1,5",Not applicable/Does not have vaginal intercourse/sex, , , , , ,AF,No, , , , ,Not applicable,Not at all concerned, ,Not applicable/Have never wanted or needed to discuss issues related to sex and relationships before
50000036,839,.3232,WI,B,Center City (Metro),North Central,East North Central,Rented,Widowed,Retired,One,One, , , , ,81, ,65+,65+,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","$15,000 but less than $25,000",White Non-Hispanic,Republican/Democrat,A Democrat, ,Democrat/leans Democrat,d3 1-5 asked,Somewhat liberal,Yes,Female,Unitarian/Universalist,Landline,Yes, , ,200929, , , , ,No,Yes,"1,5",Never, , , , , ,FA,No, , , , ,Not applicable,Very concerned, ,No
50000038,839,.3997,UT,D,Non-Metro,West,Mountain,Owned,Married,Full-time,Two,Two, , , , ,60, ,50-64,45-64,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$100,000 to under $150,000",White Non-Hispanic,Republican/Democrat,A Republican, ,Republican/leans Republican,d3 5-1 asked,Very conservative,Yes,Male,Protestant,Landline,Yes, , ,200929,"Yes, covered by health insurance",Plan through your or your spouse's employer, , ,No,Yes,"1,5",Never, , , , , ,AF,No, , , , ,No,Not at all concerned, ,Yes
50000039,839,.4396,UT,C,Center City County (Metro),West,Mountain,Owned,Married,Part-time,Five,Two,Three,None,None,Yes,48, ,30-49,45-64,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","$50,000 but less than $75,000",White Non-Hispanic,Democrat/Republican,A Republican, ,Republican/leans Republican,d3 1-5 asked,Somewhat conservative,Yes,Male,Mormon (Church of Jesus Christ of Latter-Day Saints/LDS),Landline,Yes, , ,200929,"Yes, covered by health insurance",Plan through your or your spouse's employer, , ,No,Yes,"1,5",Every time,Yes,CBA,Yes,Yes,No,FACBED,Not applicable,Yes,No,Yes,No,No,Not very concerned,Not at all concerned,Yes
50000040,839,.7209,OR,C,Center City (Metro),West,Pacific,Owned,Married,Retired,Five,Three,None,None,Two,No,72, ,65+,65+,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","$200,000 to under $250,000",White Non-Hispanic,Democrat/Republican,An Independent,Democratic,Democrat/leans Democrat,d3 5-1 asked,Somewhat liberal,Yes,Female,Protestant,Landline,Yes, , ,200929, , , , ,Not applicable/Not having sex/No partner/Not able to get pregnant/get someone pregnant/respondent or partner is currentl,Not applicable/Have not looked for information on birth control,"5,1",Not applicable/Does not have vaginal intercourse/sex, , , , , ,FA,No, , , , ,No,Very concerned, ,No
50000041,839,.4469,OR,C,Center City (Metro),West,Pacific,Owned,Married,Retired,Two,Two, , , , ,76, ,65+,65+,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$30,000 but less than $40,000",Mixed,Democrat/Republican,An Independent,Republican,Republican/leans Republican,d3 1-5 asked,Somewhat conservative,Yes,Male,Protestant,Landline,No, , ,200929, , , , ,No,Yes,"5,1",Not applicable/Does not have vaginal intercourse/sex, , , , , ,AF,Yes, , , , ,Yes,Not at all concerned, ,Yes
50000043,839,.6143,OR,B,Suburban (Metro),West,Pacific,Owned,Married,Retired,Two,Two, , , , ,75, ,65+,65+,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$50,000 but less than $100,000 (Unspecified)",White Non-Hispanic,Democrat/Republican,A Democrat, ,Democrat/leans Democrat,d3 5-1 asked,Very liberal,Yes,Female,Protestant,Landline,Yes, , ,200929, , , , ,No,Yes,"1,5",Not applicable/Does not have vaginal intercourse/sex, , , , , ,FA,No, , , , ,No,Very concerned, ,Yes
50000044,839,.5534,OR,B,Center City (Metro),West,Pacific,Owned,"Single, that is never married",Full-time,Two,Two, , , , ,61, ,50-64,45-64,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","$50,000 but less than $75,000",White Non-Hispanic,Democrat/Republican,A Democrat, ,Democrat/leans Democrat,d3 1-5 asked,Very liberal,Yes,Female,"Catholic, Roman Catholic",Landline,Yes, , ,200929,"Yes, covered by health insurance",Plan through your or your spouse's employer, , ,No,Yes,"1,5",Every time,Yes,BAC,Yes,Yes,Yes,ECBFAD,No,No,Yes,No,No,No,Very concerned,Very concerned,Yes
50000051,839,1.741,CA,A,Center City County (Metro),West,Pacific,Owned,"Single, that is never married",Homemaker,Six or more,Four,One,One,None,No,18, ,18-29,18-29,High school graduate (Grade 12 with diploma or GED certificate),"$15,000 but less than $25,000",Asian/Chinese/Japanese,Republican/Democrat,A Democrat, ,Democrat/leans Democrat,d3 5-1 asked,Somewhat liberal,Yes,Female,Nothing in particular,Landline,Yes, , ,200929,"Yes, covered by health insurance",Medicare, , ,No,Yes,"1,5",Every time,Yes,ABC,Yes,Yes,Yes,CEADFB,No,No,No,No,No,Yes,Very concerned,Very concerned,Yes
50000052,839,.7549,OR,B,Suburban (Metro),West,Pacific,Owned,Married,Full-time,Three,Two,One,None,None,Yes,59, ,50-64,45-64,"Some college, no degree (includes community college)","$50,000 but less than $75,000",White Non-Hispanic,Republican/Democrat,A Republican, ,Republican/leans Republican,d3 5-1 asked,Very conservative,Yes,Male,Christian (Just Christian),Landline,Yes, , ,200929,"Yes, covered by health insurance",Plan through your or your spouse's employer, , ,No,Not applicable/Have not looked for information on birth control,"5,1",Refused, , , , , ,FA,No, , , , ,No,Not at all concerned, ,Yes
50000053,839,1.2414,CA,A,Center City County (Metro),West,Pacific,Owned,"Single, that is never married",Full-time,Three,Three, , , , ,27, ,18-29,18-29,Two year associate degree from a college or university,"$250,000 or more",White Non-Hispanic,Republican/Democrat,An Independent,Democratic,Democrat/leans Democrat,d3 5-1 asked,Somewhat liberal,Yes,Male,Agnostic,Landline,Yes, , ,200929,"Yes, covered by health insurance",Plan through your or your spouse's employer, , ,No,Yes,"1,5",Every time,Yes,CBA,Yes,Yes,Yes,BCEADF,No,No,No,No,Yes,No,Very concerned,Very concerned,Yes
50000055,839,.5382,OR,B,Center City (Metro),West,Pacific,Owned,Married,Full-time,Three,Two,One,None,None,Yes,49, ,30-49,45-64,"Some college, no degree (includes community college)",Refused,White Non-Hispanic,Republican/Democrat,An Independent,Republican,Republican/leans Republican,d3 5-1 asked,Moderate,Yes,Female,Nothing in particular,Landline,Yes, , ,200929,"Yes, covered by health insurance",Plan you purchased yourself either from an insurance company or a state or federal marketplace,From healthcare.gov/state-specific marketplace, ,No,Yes,"5,1",Never, , , , , ,AF,No, , , , ,No,Very concerned, ,Yes
50000057,839,.3364,FL,C,Suburban (Metro),South,South Atlantic,Owned,Widowed,Retired,Two,Two, , , , ,92, ,65+,65+,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","$75,000 but less than $100,000",Black Non-Hispanic,Republican/Democrat,A Democrat, ,Democrat/leans Democrat,d3 1-5 asked,Moderate,Yes,Male,Methodist,Landline,No, , ,200930, , , , ,Not applicable/Not having sex/No partner/Not able to get pregnant/get someone pregnant/respondent or partner is currentl,Not applicable/Have not looked for information on birth control,"1,5",Never, , , , , ,AF,No, , , , ,Not applicable,Not at all concerned, ,No
50000060,839,.5549,PA,B,Center City (Metro),North East,Mid Atlantic,Refused,Refused,Part-time,One,One, , , , ,Refused,65+,65+,65+,"Some college, no degree (includes community college)",Refused,White Non-Hispanic,Democrat/Republican,A Democrat, ,Democrat/leans Democrat,d3 1-5 asked,Somewhat liberal,Yes,Male,Refused,Landline,Refused, , ,200930, , , , ,Refused,Yes,"5,1",Refused, , , , , ,FA,Refused, , , , ,Refused,Somewhat concerned, ,No
50000061,839,.8596,ME,C,Center City County (Metro),North East,New England,Owned,Married,Retired,Two,Two, , , , ,65, ,65+,65+,"Some college, no degree (includes community college)","$50,000 but less than $75,000",White Non-Hispanic,Democrat/Republican,An Independent,Democratic,Democrat/leans Democrat,d3 1-5 asked,Somewhat liberal,Yes,Female,Protestant,Landline,Yes, , ,200930, , , , ,No,Not applicable/Have not looked for information on birth control,"5,1",Not applicable/Does not have vaginal intercourse/sex, , , , , ,FA,Not applicable, , , , ,Not applicable,Very concerned, ,Yes
50000062,839,.9154,OH,A,Center City County (Metro),North Central,East North Central,Owned,Married,Retired,Two,Two, , , , ,65, ,65+,65+,"Some college, no degree (includes community college)","$75,000 but less than $100,000",White Non-Hispanic,Democrat/Republican,An Independent,Republican,Republican/leans Republican,d3 1-5 asked,Very conservative,Yes,Male,Nothing in particular,Landline,Yes, , ,200930, , , , ,No,Yes,"5,1",Never, , , , , ,AF,No, , , , ,No,Not at all concerned, ,Yes
50000063,839,.4477,FL,D,Non-Metro,South,South Atlantic,Owned,Divorced,Full-time,One,One, , , , ,62, ,50-64,45-64,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$50,000 but less than $75,000",Mixed,Democrat/Republican,An Independent,Neither/other,Independent/other,d3 1-5 asked,Very conservative,Yes,Female,Protestant,Landline,Yes, , ,200930,"Yes, covered by health insurance",Plan through your or your spouse's employer, , ,Not applicable/Not having sex/No partner/Not able to get pregnant/get someone pregnant/respondent or partner is currentl,Yes,"1,5",Never, , , , , ,AF,No, , , , ,No,Not at all concerned, ,Yes
50000067,839,.25,NC,C,Non-Metro,South,South Atlantic,Owned,"Single, that is never married",Full-time,One,One, , , , ,62, ,50-64,45-64,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","$100,000 to under $150,000",White Non-Hispanic,Republican/Democrat,An Independent,Republican,Republican/leans Republican,d3 5-1 asked,Somewhat conservative,Yes,Male,Episcopalian or Anglican,Landline,Yes, , ,200930,"Yes, covered by health insurance",Plan through your or your spouse's employer, , ,No,Yes,"5,1",Never, , , , , ,AF,No, , , , ,No,Not at all concerned, ,No
50000070,839,.668,GA,D,Non-Metro,South,South Atlantic,Owned,Married,Retired,Two,Two, , , , ,57, ,50-64,45-64,"Some college, no degree (includes community college)","$50,000 but less than $75,000",White Non-Hispanic,Republican/Democrat,A Republican, ,Republican/leans Republican,d3 1-5 asked,Very conservative,Yes,Female,Protestant,Landline,Yes, , ,200930,"Yes, covered by health insurance",Medicare, , ,Not applicable/Not having sex/No partner/Not able to get pregnant/get someone pregnant/respondent or partner is currentl,Not applicable/Have not looked for information on birth control,"1,5",Not applicable/Does not have vaginal intercourse/sex, , , , , ,AF,No, , , , ,Not applicable,Refused, ,Yes
50000072,839,.4954,MI,B,Center City (Metro),North Central,East North Central,Owned,Widowed,Other not employed,One,One, , , , ,81, ,65+,65+,High school graduate (Grade 12 with diploma or GED certificate),"$30,000 but less than $40,000",White Non-Hispanic,Republican/Democrat,A Democrat, ,Democrat/leans Democrat,d3 5-1 asked,Very conservative,Yes,Female,"Catholic, Roman Catholic",Landline,No, , ,200930, , , , ,No,No,"1,5",Never, , , , , ,FA,No, , , , ,Yes,Not at all concerned, ,No
50000074,839,.3659,SC,C,Center City (Metro),South,South Atlantic,Rented,Married,Retired,Two,Two, , , , ,82, ,65+,65+,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Refused,White Non-Hispanic,Republican/Democrat,An Independent,Republican,Republican/leans Republican,d3 5-1 asked,Somewhat conservative,Yes,Male,Nothing in particular,Landline,Yes, , ,200930, , , , ,No,Yes,"5,1",Never, , , , , ,FA,No, , , , ,No,Not at all concerned, ,Yes
50000075,839,.646,NJ,A,Suburban (Metro),North East,Mid Atlantic,Owned,"Single, that is never married",Full-time,Three,Two,None,One,None,Yes,44, ,30-49,30-44,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","$50,000 but less than $75,000",White Non-Hispanic,Republican/Democrat,An Independent,Democratic,Democrat/leans Democrat,d3 5-1 asked,Moderate,Yes,Female,"Catholic, Roman Catholic",Landline,Yes, , ,200930,"Yes, covered by health insurance",Plan through your or your spouse's employer, , ,No,Yes,"1,5",Refused, , , , , ,AF,No, , , , ,Refused,Not very concerned, ,Yes
50000078,839,1.0847,GA,A,Suburban (Metro),South,South Atlantic,Owned,Widowed,Retired,Two,Two, , , , ,71, ,65+,65+,High school graduate (Grade 12 with diploma or GED certificate),"$15,000 but less than $25,000",White Non-Hispanic,Democrat/Republican,A Republican, ,Republican/leans Republican,d3 5-1 asked,Somewhat liberal,Yes,Female,Baptist,Landline,Yes, , ,200930, , , , ,No,Yes,"5,1",Every time,Yes,BAC,Yes,Yes,Yes,BACFED,No,No,No,No,No,No,Not very concerned,Not too concerned,Yes
50000079,839,.4857,NC,D,Non-Metro,South,South Atlantic,Owned,"Single, that is never married",Temporarily unemployed,One,One, , , , ,59, ,50-64,45-64,Two year associate degree from a college or university,"$50,000 but less than $75,000",Native American/American Indian/Alaska Native,Republican/Democrat,An Independent,Republican,Republican/leans Republican,d3 5-1 asked,Somewhat conservative,Yes,Male,"Pentecostal (Assemblies of God, Four-Square Gospel)",Landline,Yes, , ,200930,"Yes, covered by health insurance",Somewhere else, , ,No,Yes,"1,5",Every time,Yes,ABC,Yes,Yes,Yes,DEBCAF,Yes,No,No,No,No,No,Very concerned,Very concerned,No
50000080,839,.2625,NY,A,Center City (Metro),North East,Mid Atlantic,Rented,"Single, that is never married",Full-time,One,One, , , , ,37, ,30-49,30-44,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","$50,000 but less than $75,000",Refused,Democrat/Republican,A Democrat, ,Democrat/leans Democrat,d3 5-1 asked,Somewhat liberal,Yes,Male,Refused,Landline,Yes, , ,200930,"Yes, covered by health insurance",Plan through your or your spouse's employer, , ,No,Don't know,"1,5",Every time,No,BAC,Yes,Yes,Yes,ACEDBF,Yes,Yes,No,Yes,Yes,No,Very concerned,Very concerned,Yes
50000081,839,.475,VA,B,Center City (Metro),South,South Atlantic,Owned,Married,Full-time,Two,Two, , , , ,65, ,65+,65+,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$50,000 but less than $75,000",Mixed,Democrat/Republican,An Independent,Republican,Republican/leans Republican,d3 5-1 asked,Very conservative,Yes,Male,Episcopalian or Anglican,Landline,Yes, , ,200930, , , , ,No,Yes,"1,5",Never, , , , , ,FA,No, , , , ,No,Not at all concerned, ,Yes
50000082,839,.3729,FL,A,Center City (Metro),South,South Atlantic,Owned,Married,Retired,Two,Two, , , , ,83, ,65+,65+,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$50,000 but less than $100,000 (Unspecified)",White Non-Hispanic,Democrat/Republican,A Republican, ,Republican/leans Republican,d3 5-1 asked,Very conservative,Yes,Male,Protestant,Landline,Yes, , ,200930, , , , ,No,Yes,"1,5",Not applicable/Does not have vaginal intercourse/sex, , , , , ,AF,No, , , , ,Yes,Not at all concerned, ,Yes
50000083,839,.5618,OH,D,Non-Metro,North Central,East North Central,Rented,"Single, that is never married",Homemaker,Six or more,One,Two,Three,None,Yes,37, ,30-49,30-44,High school graduate (Grade 12 with diploma or GED certificate),"$15,000 but less than $25,000",White Non-Hispanic,Democrat/Republican,A Republican, ,Republican/leans Republican,d3 5-1 asked,Somewhat conservative,No,Female,Atheist,Landline,Yes, , ,200930,"Yes, covered by health insurance",Medicaid/state-specific Medicaid plan, , ,No,Yes,"5,1",Every time,Yes,CAB,Yes,Yes,Yes,BECDFA,No,No,No,No,No,No,Not very concerned,Not at all concerned,Yes
50000085,839,.4766,VA,A,Suburban (Metro),South,South Atlantic,Owned,Married,Retired,Three,Three, , , , ,61, ,50-64,45-64,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$100,000 to under $150,000",White Non-Hispanic,Democrat/Republican,An Independent,Republican,Republican/leans Republican,d3 5-1 asked,Somewhat conservative,Yes,Male,Protestant,Landline,Yes, , ,200930,"Yes, covered by health insurance",Somewhere else, , ,No,Yes,"5,1",Every time,Yes,BAC,Yes,No,Yes,ACDFBE,No,No,No,No,No,No,Not very concerned,Not at all concerned,Yes
50000086,839,.4061,GA,A,Suburban (Metro),South,South Atlantic,Owned,Married,Full-time,Two,Two, , , , ,61, ,50-64,45-64,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","$150,000 to under $200,000",White Non-Hispanic,Republican/Democrat,A Democrat, ,Democrat/leans Democrat,d3 1-5 asked,Somewhat liberal,Yes,Male,Protestant,Landline,Yes, , ,200930,"Yes, covered by health insurance",Plan through your or your spouse's employer, , ,No,Yes,"5,1",Never, , , , , ,AF,No, , , , ,No,Very concerned, ,Yes
